customer_id,customer_unique_id,customer_name,customer_email,customer_phone,customer_city,customer_state,customer_pincode,customer_since
CUST00001,UCUST00001,Gaurav Tiwari,user1@email.com,9184874773.0,Kochi,Kerala,754347.0,2022-03-06
CUST00002,UCUST00002,Lakshmi Iyer,user2@email.com,9882548873.0,Nagpur,Maharashtra,540586.0,2021-11-06
CUST00003,UCUST00003,Aditi Malhotra,user3@email.com,9133340561.0,Coimbatore,Tamil Nadu,828116.0,2022-02-16
CUST00004,UCUST00004,Ishaan Saxena,user4@email.com,9535928079.0,Bengaluru,Karnataka,409396.0,2019-03-15
CUST00005,UCUST00005,Mohan Mehta,user5@email.com,9154989183.0,Kollam,Kerala,769091.0,2022-07-19
CUST00006,UCUST00006,Zara Rao,user6@email.com,9103051512.0,Janakpuri,Delhi,647033.0,2021-03-22
CUST00007,UCUST00007,Pankaj Saxena,user7@email.com,9348216009.0,Jaipur,Rajasthan,228190.0,2022-03-13
CUST00008,UCUST00008,Lakshmi Malhotra,user8@email.com,9106478340.0,Mumbai,Maharashtra,918329.0,2022-04-22
CUST00009,UCUST00009,Gaurav Joshi,user9@email.com,9904866211.0,Coimbatore,Tamil Nadu,742871.0,2022-02-27
CUST00010,UCUST00010,Meera Rao,user10@email.com,9670319587.0,Khammam,Telangana,223791.0,2020-06-20
CUST00011,UCUST00011,Sanjay Tiwari,user11@email.com,not_provided,Aurangabad,Maharashtra,764803.0,2021-12-20
CUST00012,UCUST00012,Tanvi Malhotra,user12@email.com,9727383632.0,Salem,Tamil Nadu,928555.0,2021-09-30
CUST00013,UCUST00013,Tanvi Saxena,user13@email.com,9608418803.0,Jodhpur,Rajasthan,432480.0,2019-05-05
CUST00014,UCUST00014,Vijay Kumar,user14@email.com,9340335635.0,Siliguri,West Bengal,732057.0,2021-04-02
CUST00015,UCUST00015,Vikram Joshi,user15@email.com,9618150502.0,Lucknow,Uttar Pradesh,616171.0,2019-01-26
CUST00016,UCUST00016,Lakshmi Kumar,user16@email.com,9147091011.0,Faridabad,Haryana,622069.0,2020-08-29
CUST00017,UCUST00017,Neha Sharma,user17@email.com,9517603417.0,Jabalpur,Madhya Pradesh,000000,2022-05-04
CUST00018,UCUST00018,Aisha Agarwal,not_provided,9223496451.0,Vadodara,Gujarat,184960.0,2019-01-28
CUST00019,UCUST00019,Vikram Patel,user19@email.com,9288548079.0,Mysuru,Karnataka,859702.0,2022-08-07
CUST00020,UCUST00020,Riya Joshi,user20@email.com,9398919942.0,Hisar,Haryana,364833.0,2022-01-28
CUST00021,UCUST00021,Ishaan Gupta,user21@email.com,9451769575.0,New Delhi,Delhi,515140.0,2022-09-05
CUST00022,UCUST00022,Ravi Chopra,user22@email.com,9494517602.0,Jaipur,Rajasthan,490578.0,2020-02-12
CUST00023,UCUST00023,Aditi Reddy,user23@email.com,9478595467.0,Vadodara,Gujarat,888825.0,2019-05-18
CUST00024,UCUST00024,Manish Nair,user24@email.com,9224778522.0,Jalandhar,Punjab,684776.0,2021-01-31
CUST00025,UCUST00025,Suresh Rao,user25@email.com,9722129071.0,Gurugram,Haryana,746916.0,2020-02-02
CUST00026,UCUST00026,Gaurav Naidu,user26@email.com,9493985477.0,Jabalpur,Madhya Pradesh,579325.0,2020-03-24
CUST00027,UCUST00027,Anjali Patel,user27@email.com,9168890570.0,Hyderabad,Telangana,898833.0,2019-04-13
CUST00028,UCUST00028,Riya Bose,user28@email.com,9338576766.0,Berhampur,Odisha,319215.0,2021-07-19
CUST00029,UCUST00029,Vikram Naidu,user29@email.com,9944325005.0,Janakpuri,Delhi,577736.0,2022-05-12
CUST00030,UCUST00030,Mohan Patel,user30@email.com,not_provided,Ghaziabad,Uttar Pradesh,476646.0,2020-04-16
CUST00031,UCUST00031,Priya Sharma,user31@email.com,9236806020.0,Rourkela,Odisha,948436.0,2021-10-14
CUST00032,UCUST00032,Nisha Kumar,user32@email.com,9274134200.0,Amritsar,Punjab,147907.0,2021-04-02
CUST00033,UCUST00033,Nisha Kumar,user33@email.com,9793423277.0,Bhopal,Madhya Pradesh,580521.0,2022-08-03
CUST00034,UCUST00034,Rahul Bose,user34@email.com,9243061250.0,Pune,Maharashtra,120568.0,2022-03-26
CUST00035,UCUST00035,Rajesh Tiwari,user35@email.com,9552529274.0,Hisar,Haryana,976676.0,2021-08-25
CUST00036,UCUST00036,Deepak Shah,user36@email.com,9564477827.0,Dwarka,Delhi,104188.0,2021-04-28
CUST00037,UCUST00037,Nikhil Rao,user37@email.com,9457639565.0,Patna,Bihar,605431.0,2022-01-05
CUST00038,UCUST00038,Anjali Das,user38@email.com,9145914942.0,Udaipur,Rajasthan,838498.0,2021-01-30
CUST00039,UCUST00039,Riya Verma,user39@email.com,9746443575.0,Durgapur,West Bengal,647015.0,2020-11-27
CUST00040,UCUST00040,Pankaj Joshi,user40@email.com,9680810835.0,Hubli,Karnataka,281959.0,2019-03-20
CUST00041,UCUST00041,Kavya Mishra,user41@email.com,9127834868.0,Surat,Gujarat,645124.0,2019-09-12
CUST00042,UCUST00042,Meera Mishra,user42@email.com,9230114634.0,Kozhikode,Kerala,218981.0,2021-05-26
CUST00043,UCUST00043,Arjun Chopra,user43@email.com,not_provided,Bhopal,Madhya Pradesh,717687.0,2019-06-22
